valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,11.398325,19.5,-8.101675033569336,9.375366903305054,8.895416937783768,41.54705145420172
0,30.357838,19.584,10.773837677001953,9.375366903305054,8.895416937783768,55.01346853044298
0,7.2536936,20.1,-12.84630641937256,9.375366903305054,8.895416937783768,63.91197223568438
0,14.3083515,20.088,-5.779648483276368,9.375366903305054,8.895416937783768,28.77164716883895
1,11.028309,19.584,-8.555691131591797,9.585039242744447,8.760349685428526,43.687148343503864
1,30.235378,20.1,10.135378265380858,9.585039242744447,8.760349685428526,50.424767489457004
1,7.1304345,20.088,-12.95756548690796,9.585039242744447,8.760349685428526,64.50400979145738
1,13.972478,20.664,-6.6915220870971694,9.585039242744447,8.760349685428526,32.382511068027334
2,10.683911,20.1,-9.416088676452638,9.843297468185426,8.952083572912517,46.84621232065989
2,30.078506,20.088,9.990506469726562,9.843297468185426,8.952083572912517,49.733704050809244
2,7.022292,20.664,-13.641707862854005,9.843297468185426,8.952083572912517,66.01678214698995
2,13.643113,19.968,-6.324886863708496,9.843297468185426,8.952083572912517,31.67511450174527
3,10.363287,20.088,-9.724713027954103,9.375129212379456,8.494249164992494,48.410558681571594
3,29.860786,20.664,9.19678643798828,9.375129212379456,8.494249164992494,44.50632228991618
3,6.927689,19.968,-13.04031092453003,9.375129212379456,8.494249164992494,65.30604429351979
3,13.325294,18.864,-5.538706459045411,9.375129212379456,8.494249164992494,29.36125137322631
4,10.064382,20.664,-10.599618400573732,9.491975255012512,8.5898141014205,51.29509485372499
4,29.61294,19.968,9.644939834594727,9.491975255012512,8.5898141014205,48.30198234472519
4,6.8462605,18.864,-12.017739452362061,9.491975255012512,8.5898141014205,63.707270209722545
4,13.014397,18.72,-5.70560333251953,9.491975255012512,8.5898141014205,30.478650280553047
5,9.795859,19.968,-10.172140663146973,9.758382776260376,8.873845383400756,50.94221085309982
5,29.316017,18.864,10.452017150878905,9.758382776260376,8.873845383400756,55.4072156005031
5,6.778475,18.72,-11.941525192260741,9.758382776260376,8.873845383400756,63.79019867660652
5,12.720152,19.188,-6.467848098754882,9.758382776260376,8.873845383400756,33.707776207811555
6,9.514422,18.864,-9.349577583312989,13.892270886421203,12.172853745691151,49.56307031018336
6,28.96962,18.72,10.249619750976564,13.892270886421203,12.172853745691151,54.75224225949019
6,6.7167354,19.188,-12.471264636993407,13.892270886421203,12.172853745691151,64.99512527096836
6,12.417378,35.916,-23.498621574401852,13.892270886421203,12.172853745691151,65.42661090990605
7,9.211012,18.72,-9.50898811340332,20.22548340034485,16.89378696765792,50.79587667416303
7,28.547163,19.188,9.359163009643556,20.22548340034485,16.89378696765792,48.776125753822996
7,6.6584473,35.916,-29.257552734374997,20.22548340034485,16.89378696765792,81.46105561414133
7,12.10377,44.88,-32.77622974395752,20.22548340034485,16.89378696765792,73.03081493751675
8,8.93979,19.188,-10.248210227966307,24.015636205673218,15.003775891372298,53.40947585973686
8,28.074913,35.916,-7.841086975097653,24.015636205673218,15.003775891372298,21.831737874756804
8,6.61246,44.88,-38.26753986358643,24.015636205673218,15.003775891372298,85.26635441975586
8,11.810292,51.516,-39.70570775604248,24.015636205673218,15.003775891372298,77.07451618146301
9,8.709995,35.916,-27.206004730224606,32.61580893039704,11.016011500462676,75.74898298870868
9,27.561695,44.88,-17.31830490112305,32.61580893039704,11.016011500462676,38.588023398224266
9,6.580053,51.516,-44.93594714736938,32.61580893039704,11.016011500462676,87.22716660332593
9,11.545021,52.548,-41.002978942871096,32.61580893039704,11.016011500462676,78.02957095012387
10,15.32636,44.88,-29.55364025115967,34.84054655265808,5.944304736178001,65.85035706586379
10,23.10784,51.516,-28.408160415649412,34.84054655265808,5.944304736178001,55.14434431176608
10,13.140316,52.548,-39.40768399047852,34.84054655265808,5.944304736178001,74.99368956093194
10,16.231298,58.224,-41.99270155334472,34.84054655265808,5.944304736178001,72.12266686133678
11,28.266195,51.516,-23.249804702758787,31.131436210632323,5.202716558566065,45.13123049685299
11,20.901964,52.548,-31.64603581237793,31.131436210632323,5.202716558566065,60.22310233001814
11,26.471035,58.224,-31.752964996337887,31.131436210632323,5.202716558566065,54.53587008164655
11,22.45906,60.336,-37.876939331054686,31.131436210632323,5.202716558566065,62.77668279477374
12,46.825127,52.548,-5.722873352050783,22.666365413665773,12.475718004994029,10.890753886067563
12,20.124634,58.224,-38.0993662109375,22.666365413665773,12.475718004994029,65.43584468765027
12,43.848866,60.336,-16.487134490966795,22.666365413665773,12.475718004994029,27.32553449179063
12,29.655912,60.012,-30.35608760070801,22.666365413665773,12.475718004994029,50.58336266198095
13,64.692795,58.224,6.468794799804691,18.140632270812986,18.792136443388113,11.110186177185852
13,20.165718,60.336,-40.17028192138672,18.140632270812986,18.792136443388113,66.57763511234872
13,59.49719,60.012,-0.5148114318847661,18.140632270812986,18.792136443388113,0.8578474836445478
13,36.76336,62.172,-25.40864093017578,18.140632270812986,18.792136443388113,40.868302338956084
14,68.158554,60.336,7.822554077148439,19.59827473449707,19.331930023603718,12.964986205828094
14,21.058071,60.012,-38.95392886352539,19.59827473449707,19.331930023603718,64.91023272599712
14,60.520237,62.172,-1.6517630310058564,19.59827473449707,19.331930023603718,2.6567635446919136
14,38.399147,68.364,-29.964852966308598,19.59827473449707,19.331930023603718,43.83133369362325
15,70.70662,60.012,10.694619262695312,22.031649459838867,19.832423990678244,17.820801277570006
15,21.872086,62.172,-40.299914428710935,22.031649459838867,19.832423990678244,64.82003864876621
15,61.175926,68.364,-7.188073791503911,22.031649459838867,19.832423990678244,10.514413714095006
15,39.78801,69.732,-29.943990356445312,22.031649459838867,19.832423990678244,42.941533810080465
16,72.31945,62.172,10.147450378417972,24.501604896545413,21.792670188136768,16.32157623756349
16,22.602467,68.364,-45.76153341674805,24.501604896545413,21.792670188136768,66.9380571890879
16,61.45564,69.732,-8.276361114501952,24.501604896545413,21.792670188136768,11.868813621439156
16,40.878925,74.7,-33.821074676513675,24.501604896545413,21.792670188136768,45.2758697142084
17,73.93019,68.364,5.566191040039058,26.02327223968506,20.744818705673875,8.14199145754938
17,23.39537,69.732,-46.33662951660156,26.02327223968506,20.744818705673875,66.44959203321511
17,61.678417,74.7,-13.021582794189456,26.02327223968506,20.744818705673875,17.431837743225508
17,42.011314,81.18,-39.16868560791016,26.02327223968506,20.744818705673875,48.2491815815597
18,75.85821,69.732,6.126207702636719,27.947731174469,21.036866032789852,8.78536067033316
18,24.22857,74.7,-50.47142906188965,27.947731174469,21.036866032789852,67.56550075219498
18,61.923996,81.18,-19.25600402832032,27.947731174469,21.036866032789852,23.720133072579845
18,43.370716,79.308,-35.937283905029304,27.947731174469,21.036866032789852,45.31356723789442
19,77.41969,74.7,2.7196929931640597,27.43733270263672,21.57855279897774,3.640820606645327
19,25.117619,81.18,-56.06238143920899,27.43733270263672,21.57855279897774,69.05935136635746
19,61.993183,79.308,-17.31481686401368,27.43733270263672,21.57855279897774,21.83237108994512
19,44.56356,78.216,-33.65243951416015,27.43733270263672,21.57855279897774,43.025007049913256
20,79.32655,81.18,-1.8534466552734443,25.309731693267825,18.92867343622602,2.2831321203171275
20,26.192278,79.308,-53.11572209167481,25.309731693267825,18.92867343622602,66.97397752014275
20,62.164494,78.216,-16.05150643920898,25.309731693267825,18.92867343622602,20.52202418841283
20,45.95775,76.176,-30.218251586914064,25.309731693267825,18.92867343622602,39.66899231636482
21,81.477684,79.308,2.169684020996087,23.485305603027342,19.41162593954412,2.7357694318304415
21,27.428738,78.216,-50.787262359619135,23.485305603027342,19.41162593954412,64.93206295338439
21,62.40915,76.176,-13.766850830078127,23.485305603027342,19.41162593954412,18.072425475317853
21,47.530575,74.748,-27.21742520141602,23.485305603027342,19.41162593954412,36.412245413142855
22,82.53865,78.216,4.3226505126953185,22.528009273529054,18.98189942055205,5.526555324607905
22,28.536963,76.176,-47.63903749084473,22.528009273529054,18.98189942055205,62.53811894933408
22,62.1755,74.748,-12.572501037597661,22.528009273529054,18.98189942055205,16.819849410817227
22,48.522152,74.1,-25.57784805297851,22.528009273529054,18.98189942055205,34.51801356677262
23,83.156006,76.176,6.980005859374998,21.99418843460083,18.8435086055657,9.162998660175118
23,29.62343,74.748,-45.12456974792481,21.99418843460083,18.8435086055657,60.36893261080538
23,61.712646,74.1,-12.387353515624994,21.99418843460083,18.8435086055657,16.717076269399453
23,49.271175,72.756,-23.484824615478516,21.99418843460083,18.8435086055657,32.278883687226504
24,83.17117,74.748,8.42317309570312,21.250223575592038,18.683767837194996,11.268760496204742
24,30.522707,74.1,-43.57729301452636,21.250223575592038,18.683767837194996,58.80876250273464
24,60.900616,72.756,-11.855384307861328,21.250223575592038,18.683767837194996,16.29471701009034
24,49.690956,70.836,-21.145043884277342,21.250223575592038,18.683767837194996,29.850702868989416
25,82.72208,74.1,8.62207641601563,21.8652625579834,18.565232394844315,11.63573065589154
25,31.199211,72.756,-41.55678887939453,21.8652625579834,18.565232394844315,57.11802309004691
25,59.777355,70.836,-11.058644805908202,21.8652625579834,18.565232394844315,15.611616700418152
25,49.89246,76.116,-26.223540130615234,21.8652625579834,18.565232394844315,34.45207332310583
