valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,48.24529,48.168,0.07728884887695386,1.2902601394653317,1.689205201471629,0.1604568362335033
0,46.331856,47.196,-0.8641442260742167,1.2902601394653317,1.689205201471629,1.8309692051746267
0,43.274334,42.996,0.27833395385741966,1.2902601394653317,1.689205201471629,0.6473484832482548
0,41.490726,45.432,-3.9412735290527365,1.2902601394653317,1.689205201471629,8.67510461580546
1,47.079735,47.196,-0.1162651977539042,1.5687469711303699,1.9244496347931217,0.24634544824541107
1,45.195442,42.996,2.199442199707029,1.5687469711303699,1.9244496347931217,5.115457716315539
1,42.226604,45.432,-3.2053955383300803,1.5687469711303699,1.9244496347931217,7.055369647671421
1,40.610115,41.364,-0.753884948730466,1.5687469711303699,1.9244496347931217,1.8225629743991538
2,45.87441,42.996,2.878408721923826,1.803603210449218,2.094396031238263,6.694596525080998
2,43.9631,45.432,-1.4688995666503928,1.803603210449218,2.094396031238263,3.2331827052526694
2,41.257866,41.364,-0.10613409423827846,1.803603210449218,2.094396031238263,0.2565856644383485
2,39.59903,42.36,-2.7609704589843744,1.803603210449218,2.094396031238263,6.51787171620485
3,43.458576,45.432,-1.973423797607424,1.4977948913574224,1.2348736693852327,4.3436868234007395
3,41.623775,41.364,0.25977548217773716,1.4977948913574224,1.2348736693852327,0.6280231171495435
3,39.349365,42.36,-3.0106347656249994,1.4977948913574224,1.2348736693852327,7.1072586535056645
3,37.628654,38.376,-0.7473455200195289,1.4977948913574224,1.2348736693852327,1.9474294351144699
4,42.617126,41.364,1.2531264648437528,0.8681251144409199,1.0637197373018534,3.029509875359619
4,40.660416,42.36,-1.699584350585937,0.8681251144409199,1.0637197373018534,4.012238787974355
4,38.59059,38.376,0.21459143066406483,0.8681251144409199,1.0637197373018534,0.5591813390245592
4,36.7148,37.02,-0.305198211669925,0.8681251144409199,1.0637197373018534,0.8244144021337789
5,40.63999,42.36,-1.7200082397460932,1.0143860855102549,0.9520734029174434,4.060453823763204
5,38.712902,38.376,0.3369020690917992,1.0143860855102549,0.9520734029174434,0.8778978244001439
5,36.860813,37.02,-0.1591868591308625,1.0143860855102549,0.9520734029174434,0.43000232072086025
5,35.070553,36.912,-1.8414471740722647,1.0143860855102549,0.9520734029174434,4.988749387928762
6,39.621525,38.376,1.245524810791018,1.4023817138671877,1.5375153726337467,3.245582683945742
6,37.581284,37.02,0.5612835693359344,1.4023817138671877,1.5375153726337467,1.516163072220244
6,35.83375,36.912,-1.0782483215332022,1.4023817138671877,1.5375153726337467,2.921132210482234
6,34.09153,36.816,-2.7244701538085963,1.4023817138671877,1.5375153726337467,7.400234011866027
7,37.510548,37.02,0.49054763793945,1.7034206695556637,1.2457093890286322,1.325088162991491
7,35.470657,36.912,-1.4413426513671865,1.7034206695556637,1.2457093890286322,3.904807789789734
7,33.886288,36.816,-2.929712310791018,1.7034206695556637,1.2457093890286322,7.957714881548831
7,32.36792,34.32,-1.9520800781250003,1.7034206695556637,1.2457093890286322,5.687879015515735
8,35.491646,36.912,-1.4203541870117178,2.5673359107971194,0.7670975262937697,3.8479469739155774
8,33.395985,36.816,-3.4200153503417994,2.5673359107971194,0.7670975262937697,9.289481068942305
8,31.971449,34.32,-2.3485511016845706,2.5673359107971194,0.7670975262937697,6.843097615631033
8,30.651577,33.732,-3.08042300415039,2.5673359107971194,0.7670975262937697,9.132049698062344
9,34.036217,36.816,-2.7797832641601588,2.282741607666016,1.5133219723375109,7.550476054324637
9,31.84683,34.32,-2.473169631958008,2.282741607666016,1.5133219723375109,7.206205221322867
9,30.429083,33.732,-3.302917129516601,2.282741607666016,1.5133219723375109,9.791643334271912
9,29.387096,28.812,0.5750964050292957,2.282741607666016,1.5133219723375109,1.9960308379470209
10,33.0211,34.32,-1.2989009094238284,1.5729345512390136,1.7249467955560565,3.7846763095099893
10,30.764086,33.732,-2.967914230346679,1.5729345512390136,1.7249467955560565,8.798512481758209
10,29.271076,28.812,0.45907620239257696,1.5729345512390136,1.7249467955560565,1.5933506955177597
10,28.625847,27.06,1.56584686279297,1.5729345512390136,1.7249467955560565,5.786573772331745
11,31.428238,33.732,-2.303762084960937,1.820763359069824,2.171880404809859,6.829604188784942
11,29.227774,28.812,0.41577366638183477,1.820763359069824,2.171880404809859,1.4430572899550005
11,27.79825,27.06,0.7382501983642591,1.820763359069824,2.171880404809859,2.7281973332012535
11,27.645267,23.82,3.8252674865722653,1.820763359069824,2.171880404809859,16.059057458321853
12,30.049267,28.812,1.2372668151855457,2.190112319946289,1.1693652912004617,4.294276048818359
12,27.963326,27.06,0.9033255004882825,2.190112319946289,1.1693652912004617,3.3382317091215175
12,26.683863,23.82,2.8638626861572263,2.190112319946289,1.1693652912004617,12.022933191256199
12,26.999994,23.244,3.755994277954102,2.190112319946289,1.1693652912004617,16.15898415915549
13,27.303465,27.06,0.24346488952636847,1.648147769927979,1.0426781103658547,0.899722429883106
13,25.55511,23.82,1.735110931396484,1.648147769927979,1.0426781103658547,7.284260837096911
13,24.685034,23.244,1.4410337982177737,1.648147769927979,1.0426781103658547,6.199594726457467
13,25.564981,22.392,3.1729814605712896,1.648147769927979,1.0426781103658547,14.170156576327662
14,26.25645,23.82,2.4364506530761716,3.3033632316589356,1.7980709892806814,10.228592162368479
14,26.758205,23.244,3.5142054138183596,3.3033632316589356,1.7980709892806814,15.118763611333504
14,28.464815,22.392,6.072815139770508,3.3033632316589356,1.7980709892806814,27.120467755316668
14,30.817982,29.628,1.189981719970703,3.3033632316589356,1.7980709892806814,4.01640920740753
15,25.924658,23.244,2.6806578216552737,4.497996910095215,4.295795004118822,11.5326872382347
15,28.914915,22.392,6.522915084838868,4.497996910095215,4.295795004118822,29.130560400316487
15,33.349922,29.628,3.721922180175781,4.497996910095215,4.295795004118822,12.562178277898544
15,36.729507,41.796,-5.066492553710937,4.497996910095215,4.295795004118822,12.121955578789684
16,27.196903,22.392,4.804903228759766,5.186326606750488,5.891384395652371,21.458124458555584
16,32.18732,29.628,2.5593207092285155,5.186326606750488,5.891384395652371,8.638182493683393
16,38.894943,41.796,-2.901056762695312,5.186326606750488,5.891384395652371,6.940991393184305
16,42.775974,53.256,-10.48002572631836,5.186326606750488,5.891384395652371,19.67858218100939
17,29.515062,29.628,-0.1129376678466798,5.702860645294189,3.432675732673821,0.3811855941902248
17,35.880432,41.796,-5.915567871093749,5.702860645294189,3.432675732673821,14.1534306419125
17,44.032864,53.256,-9.22313638305664,5.702860645294189,3.432675732673821,17.318492532403187
17,48.2762,55.836,-7.559800659179686,5.702860645294189,3.432675732673821,13.539294826240573
18,37.107952,41.796,-4.6880478820800775,7.941113899230956,2.0161586302075354,11.216498904392951
18,43.70148,53.256,-9.554519134521485,7.941113899230956,2.0161586302075354,17.940737446525247
18,48.005062,55.836,-7.830937896728514,7.941113899230956,2.0161586302075354,14.024890566531475
18,52.31305,62.004,-9.690950683593748,7.941113899230956,2.0161586302075354,15.62955726016668
19,44.034996,53.256,-9.221003967285156,8.579093551635742,1.0358129485931145,17.31448844690768
19,48.706566,55.836,-7.129434143066405,8.579093551635742,1.0358129485931145,12.768525938581568
19,52.16902,62.004,-9.834978393554685,8.579093551635742,1.0358129485931145,15.86184503186034
19,55.673042,63.804,-8.13095770263672,8.579093551635742,1.0358129485931145,12.74364883492684
20,51.886738,55.836,-3.9492621765136704,4.923918495178222,1.664678318006211,7.072967577393922
20,55.26656,62.004,-6.73744039916992,4.923918495178222,1.664678318006211,10.866138312318432
20,57.497578,63.804,-6.306422332763674,4.923918495178222,1.664678318006211,9.884054812807463
20,60.69345,63.396,-2.702549072265626,4.923918495178222,1.664678318006211,4.262964654340378
21,57.800125,62.004,-4.203874877929685,2.848556922912598,1.030874720462145,6.780005931761959
21,60.311733,63.804,-3.4922667541503927,2.848556922912598,1.030874720462145,5.473429180224425
21,61.574394,63.396,-1.821605773925782,2.848556922912598,1.030874720462145,2.8733765125966655
21,64.91552,66.792,-1.8764802856445328,2.848556922912598,1.030874720462145,2.8094386837413654
22,63.408985,63.804,-0.3950148620605489,1.4062673873901375,1.5474029033614556,0.6191067363496785
22,65.2976,63.396,1.901599792480468,1.4062673873901375,1.5474029033614556,2.9995580044174206
22,65.86811,66.792,-0.9238893432617203,1.4062673873901375,1.5474029033614556,1.3832335358451915
22,69.223434,71.628,-2.4045655517578126,1.4062673873901375,1.5474029033614556,3.3570189754813935
23,67.28499,63.396,3.8889884033203117,3.001291290283202,2.5785262452742463,6.134438140135516
23,68.73832,66.792,1.9463193969726547,3.001291290283202,2.5785262452742463,2.9140007740038545
23,69.078575,71.628,-2.5494248657226564,3.001291290283202,2.5785262452742463,3.5592573654473902
23,72.29643,68.676,3.6204324951171856,3.001291290283202,2.5785262452742463,5.271757957826876
24,68.91663,66.792,2.1246336059570297,2.5399357604980466,2.1587977303633936,3.180970184987767
24,70.03037,71.628,-1.5976273803710939,2.5399357604980466,2.1587977303633936,2.230450913568847
24,70.673965,68.676,1.9979654541015606,2.5399357604980466,2.1587977303633936,2.909262994498166
24,73.37952,68.94,4.439516601562502,2.5399357604980466,2.1587977303633936,6.439681754514799
25,70.268585,71.628,-1.3594147949218751,2.4130324859619137,1.803341112233607,1.8978818268301154
25,71.1216,68.676,2.4455972900390606,2.4130324859619137,1.803341112233607,3.5610654232032446
25,72.08991,68.94,3.1499124145507835,2.4130324859619137,1.803341112233607,4.569063554613844
25,74.001205,71.304,2.6972054443359355,2.4130324859619137,1.803341112233607,3.782684624054661
26,72.283,68.676,3.6069971313476543,2.6598222808837875,1.4068171772756646,5.252194553188383
26,72.95271,68.94,4.012713012695315,2.6598222808837875,1.4068171772756646,5.820587485777944
26,73.941605,71.304,2.6376046142578105,2.6598222808837875,1.4068171772756646,3.699097686325887
26,75.129974,74.748,0.38197436523437034,2.6598222808837875,1.4068171772756646,0.511016167970207
27,72.18748,68.94,3.2474771118164085,1.6207689208984384,1.450188508804366,4.710584728483331
27,72.736626,71.304,1.4326256713867167,1.6207689208984384,1.450188508804366,2.0091799497738085
27,73.91941,74.748,-0.8285892944335984,1.6207689208984384,1.450188508804366,1.1085103205886424
27,74.51038,73.536,0.9743836059570299,1.6207689208984384,1.450188508804366,1.3250429802505301
28,71.63986,71.304,0.33586206054687295,2.156923889160158,2.3213072837682875,0.4710283582223619
28,72.04839,74.748,-2.699606750488286,2.156923889160158,2.3213072837682875,3.611610679199826
28,73.41767,73.536,-0.11832879638672011,2.156923889160158,2.3213072837682875,0.16091274530396013
28,73.3421,78.816,-5.4738979492187525,2.156923889160158,2.3213072837682875,6.945160816609257
29,71.77073,74.748,-2.9772709350585984,4.066306549072269,1.9149681348060223,3.9830777212214348
29,72.03318,73.536,-1.5028197631835951,4.066306549072269,1.9149681348060223,2.0436517667313905
29,73.270195,78.816,-5.545804992675784,4.066306549072269,1.9149681348060223,7.036394885144874
29,72.68467,78.924,-6.2393305053711,4.066306549072269,1.9149681348060223,7.905491999101794
30,73.03923,73.536,-0.49676965332031386,3.4250137634277387,2.067653190097411,0.6755461995761448
30,73.13116,78.816,-5.684843078613284,3.4250137634277387,2.067653190097411,7.212803337664033
30,73.90067,78.924,-5.02332708740235,3.4250137634277387,2.067653190097411,6.364764947800859
30,73.056885,75.552,-2.4951152343750067,3.4250137634277387,2.067653190097411,3.302513810852137
31,73.53677,78.816,-5.2792263183593775,3.1085882110595726,2.3519580577746013,6.698165751064983
31,73.491104,78.924,-5.432895874023444,3.1085882110595726,2.3519580577746013,6.883705683978819
31,73.87707,75.552,-1.674932434082038,3.1085882110595726,2.3519580577746013,2.216926665186941
31,72.9713,72.924,0.047298217773430906,3.1085882110595726,2.3519580577746013,0.06485960420908192
32,75.72936,78.924,-3.194637512207038,1.8028286895751968,2.126346729353541,4.0477389795335235
32,75.437004,75.552,-0.11499591064453796,1.8028286895751968,2.126346729353541,0.15220763268283824
32,75.28869,72.924,2.364688659667962,1.8028286895751968,2.126346729353541,3.2426754698973754
32,74.30499,72.768,1.5369926757812493,1.8028286895751968,2.126346729353541,2.112182107219175
33,77.3638,75.552,1.8118000488281183,4.091631195068356,1.9076247447231771,2.3980835038491612
33,76.859055,72.924,3.935054565429681,4.091631195068356,1.9076247447231771,5.396103567316221
33,76.29375,72.768,3.525746948242187,4.091631195068356,1.9076247447231771,4.845188748134052
33,75.36192,68.268,7.093923217773437,4.091631195068356,1.9076247447231771,10.39128613372801
34,77.088295,72.924,4.16429498291015,4.012416900634765,2.9204813379311925,5.710458810419271
34,76.43046,72.768,3.6624580688476556,4.012416900634765,2.9204813379311925,5.033061330320547
34,75.865326,68.268,7.597325927734374,4.012416900634765,2.9204813379311925,11.128678044961585
34,74.89041,75.516,-0.6255886230468803,4.012416900634765,2.9204813379311925,0.8284186437932097
35,75.54266,72.768,2.7746635742187493,3.3210478210449246,2.6834239395300936,3.813027119363936
35,74.7624,68.268,6.494397766113281,3.3210478210449246,2.6834239395300936,9.513092175123456
35,74.42487,75.516,-1.091126647949224,3.3210478210449246,2.6834239395300936,1.4448946553700195
35,73.244,70.32,2.9240032958984443,3.3210478210449246,2.6834239395300936,4.158138930458539
36,74.069084,68.268,5.801084167480468,3.045419540405277,2.9213241833269317,8.497515918849926
36,73.14804,75.516,-2.3679592285156303,3.045419540405277,2.9213241833269317,3.1357053187610973
36,72.91196,70.32,2.591956787109382,3.045419540405277,2.9213241833269317,3.6859453741600996
36,71.48868,70.068,1.4206779785156272,3.045419540405277,2.9213241833269317,2.027570329559324
37,71.21863,75.516,-4.297372070312505,2.182540298461916,2.1668336221626494,5.69067756543316
37,70.28775,70.32,-0.03224975585936818,2.182540298461916,2.1668336221626494,0.04586142755882847
37,70.155075,70.068,0.08707507324218966,2.182540298461916,2.1668336221626494,0.12427224016982026
37,68.622536,72.936,-4.313464294433601,2.182540298461916,2.1668336221626494,5.914040109731271
38,71.75794,70.32,1.437942199707038,1.8259143066406303,2.0324011421638457,2.0448552328029552
38,70.543816,70.068,0.4758156127929709,1.8259143066406303,2.0324011421638457,0.6790769149868284
38,69.959274,72.936,-2.9767257080078195,1.8259143066406303,2.0324011421638457,4.081284561818333
38,68.28117,65.868,2.4131737060546925,1.8259143066406303,2.0324011421638457,3.6636510992510667
39,70.4249,70.068,0.35689624023437716,2.2464330139160182,2.52806541707199,0.5093569678517685
39,69.184654,72.936,-3.7513457641601633,2.2464330139160182,2.52806541707199,5.143339042667767
39,68.20829,65.868,2.3402901000976613,2.2464330139160182,2.52806541707199,3.5530000912395416
39,66.7612,64.224,2.5371999511718712,2.2464330139160182,2.52806541707199,3.950548005686147
40,69.28136,72.936,-3.6546431884765695,3.643585266113284,3.7734009544537357,5.010753521548439
40,67.92606,65.868,2.0580635375976613,3.643585266113284,3.7734009544537357,3.1245271415522886
40,66.68502,64.224,2.46102044677734,3.643585266113284,3.7734009544537357,3.8319326836966554
40,65.311386,71.712,-6.400613891601566,3.643585266113284,3.7734009544537357,8.925443289270367
41,69.50487,65.868,3.6368675537109425,3.629319580078125,3.8669258347381437,5.521448280972464
41,67.91587,64.224,3.6918706665039025,3.629319580078125,3.8669258347381437,5.748428416953011
41,66.23052,71.712,-5.4814778442382845,3.629319580078125,3.8669258347381437,7.643738627061418
41,64.90494,66.612,-1.7070622558593698,3.629319580078125,3.8669258347381437,2.562694793519741
42,67.06886,64.224,2.8448629150390587,3.6707076110839836,3.248403675876606,4.429594723217269
42,65.51376,71.712,-6.198236572265628,3.6707076110839836,3.248403675876606,8.643234845305706
42,63.71206,66.612,-2.899940979003901,3.6707076110839836,3.248403675876606,4.353481323190868
42,62.57621,65.316,-2.7397899780273463,3.6707076110839836,3.248403675876606,4.194668960174147
43,64.55652,71.712,-7.155481445312503,5.138319664001465,1.3630122962131666,9.978080998037292
43,62.93755,66.612,-3.6744504089355416,5.138319664001465,1.3630122962131666,5.516198896498441
43,61.184494,65.316,-4.131505981445315,5.138319664001465,1.3630122962131666,6.325411815551036
43,59.98816,65.58,-5.591840820312498,5.138319664001465,1.3630122962131666,8.526747209991612
44,65.54039,66.612,-1.0716099853515573,2.420478507995604,2.436003068640858,1.6087341400221542
44,63.513115,65.316,-1.8028850708007838,2.420478507995604,2.436003068640858,2.7602502768093324
44,61.285473,65.58,-4.294527130126951,2.420478507995604,2.436003068640858,6.548531762926123
44,59.93289,57.42,2.5128918457031233,2.420478507995604,2.436003068640858,4.376335502791925
45,64.578804,65.316,-0.7371959838867213,1.9352179260253912,2.140931889573837,1.1286606404046806
45,62.469795,65.58,-3.110204772949217,1.9352179260253912,2.140931889573837,4.742611730633146
45,59.885628,57.42,2.4656277465820295,1.9352179260253912,2.140931889573837,4.294022547164802
45,58.715843,57.288,1.427843200683597,1.9352179260253912,2.140931889573837,2.4923949181043104
46,63.3543,65.58,-2.2256985473632795,2.1675428237915035,2.1197401604978703,3.3938678672816094
46,61.09128,57.42,3.671281890869139,2.1675428237915035,2.1197401604978703,6.393733700573214
46,58.404995,57.288,1.1169949645996127,2.1675428237915035,2.1197401604978703,1.9497887246886132
46,57.192196,55.536,1.656195892333983,2.1675428237915035,2.1197401604978703,2.982202341425351
47,62.55122,57.42,5.131219940185545,2.659218132019044,2.1942875360410015,8.936293870054937
47,60.075226,57.288,2.7872258300781283,2.659218132019044,2.1942875360410015,4.865287372710041
47,57.27428,55.536,1.7382805480957018,2.659218132019044,2.1942875360410015,3.130006748947893
47,55.911854,56.892,-0.9801462097167999,2.659218132019044,2.1942875360410015,1.72281904260142
48,58.98631,57.288,1.6983090515136752,2.0538927001953144,2.0679922233871175,2.9645109822540068
48,56.602116,55.536,1.0661156311035143,2.0538927001953144,2.0679922233871175,1.9196838647067023
48,54.038692,56.892,-2.8533075256347686,2.0538927001953144,2.0679922233871175,5.01530536039297
48,52.60216,55.2,-2.5978385925292997,2.0538927001953144,2.0679922233871175,4.7062293342922095
49,56.359272,55.536,0.8232720031738268,3.4750096740722665,2.5891140772805743,1.4824114145308032
49,53.8938,56.892,-2.998201171875003,3.4750096740722665,2.5891140772805743,5.269987295006333
49,51.55631,55.2,-3.643691253662112,3.4750096740722665,2.5891140772805743,6.600889952286434
49,49.785126,56.22,-6.434874267578124,3.4750096740722665,2.5891140772805743,11.445880945532059
50,54.03765,56.892,-2.8543489379882843,4.562088958740235,1.546419452680417,5.017135867939753
50,51.552574,55.2,-3.647425842285159,4.562088958740235,1.546419452680417,6.607655511386157
50,49.257175,56.22,-6.962824554443358,4.562088958740235,1.546419452680417,12.384960075495123
50,47.272243,52.056,-4.783756500244138,4.562088958740235,1.546419452680417,9.189635201022242
51,53.141167,55.2,-2.058833312988284,3.8675678558349613,1.2732115707420706,3.7297704945439927
51,50.563576,56.22,-5.656424255371093,3.8675678558349613,1.2732115707420706,10.06123133292617
51,48.099293,52.056,-3.9567072448730443,3.8675678558349613,1.2732115707420706,7.600866845076541
51,45.953693,49.752,-3.7983066101074243,3.8675678558349613,1.2732115707420706,7.634480242216241
52,52.16595,56.22,-4.0540492248535145,3.1974428787231446,0.6077415928902051,7.2110445123684
52,49.589066,52.056,-2.466934448242185,3.1974428787231446,0.6077415928902051,4.739001168438191
52,46.935436,49.752,-2.8165637512207056,3.1974428787231446,0.6077415928902051,5.661207089605856
52,44.775776,48.228,-3.4522240905761734,3.1974428787231446,0.6077415928902051,7.158132393166156
53,52.027786,52.056,-0.028213745117184885,0.7759502716064457,0.9663159212308827,0.054198834173169064
53,49.382656,49.752,-0.36934390258789307,0.7759502716064457,0.9663159212308827,0.7423699601782703
53,46.553608,48.228,-1.6743920593261734,0.7759502716064457,0.9663159212308827,3.471825618574632
53,44.33985,43.308,1.0318513793945314,0.7759502716064457,0.9663159212308827,2.382588388737719
54,50.517742,49.752,0.7657421569824194,0.8958708343505855,0.9884903874132854,1.5391183409358808
54,47.958042,48.228,-0.2699578552246109,0.8958708343505855,0.9884903874132854,0.5597533698776871
54,45.185474,43.308,1.8774743957519533,0.8958708343505855,0.9884903874132854,4.335167626655475
54,42.98569,43.656,-0.6703089294433582,0.8958708343505855,0.9884903874132854,1.5354336848161951
55,48.58017,48.228,0.35216967773437347,1.5090746841430658,1.9820092700159286,0.730218291727572
55,46.075684,43.308,2.76768359375,1.5090746841430658,1.9820092700159286,6.3906982399325765
55,43.555508,43.656,-0.10049234008788943,1.5090746841430658,1.9820092700159286,0.23019135992278136
55,41.248047,44.064,-2.815953125,1.5090746841430658,1.9820092700159286,6.390598050562818
56,46.650093,43.308,3.3420930786132814,2.1997039566040044,2.4258829236879094,7.71703398589933
56,44.161083,43.656,0.5050832214355481,2.1997039566040044,2.4258829236879094,1.1569617496691131
56,41.87149,44.064,-2.192509521484375,2.1997039566040044,2.4258829236879094,4.975738747014287
