valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,67.93403,65.496,2.438028625488286,2.6228753509521514,1.4488498833531778,3.7224084302679343
0,65.38915,65.064,0.3251525268554758,2.6228753509521514,1.4488498833531778,0.499742602446016
0,63.8978,60.06,3.8378004455566384,2.6228753509521514,1.4488498833531778,6.389944131795934
0,61.39452,57.504,3.8905198059082053,2.6228753509521514,1.4488498833531778,6.765650747614436
1,68.72349,65.064,3.6594878540039133,4.762038597106935,1.3644140654865142,5.624443400350292
1,65.87713,60.06,5.8171286010742165,4.762038597106935,1.3644140654865142,9.685528806317377
1,63.88923,57.504,6.3852288208007835,4.762038597106935,1.3644140654865142,11.103973324987452
1,61.72231,58.536,3.1863091125488268,4.762038597106935,1.3644140654865142,5.443332500595918
2,69.1924,60.06,9.13239807128906,7.856877746582031,1.4334917565629213,15.205457994154278
2,66.17325,57.504,8.669248291015627,7.856877746582031,1.4334917565629213,15.07590479099824
2,63.97907,58.536,5.443068756103514,7.856877746582031,1.4334917565629213,9.29866877836462
2,61.822796,53.64,8.182795867919921,7.856877746582031,1.4334917565629213,15.255025853691128
3,66.35246,57.504,8.84846276855469,6.457521186828613,1.7964574447344006,15.387560462845522
3,63.25743,58.536,4.721431030273436,6.457521186828613,1.7964574447344006,8.065858668637139
3,61.177933,53.64,7.537932739257812,6.457521186828613,1.7964574447344006,14.052820170130149
3,58.39826,53.676,4.722258209228514,6.457521186828613,1.7964574447344006,8.79770886285959
4,62.808475,58.536,4.272475494384764,4.56722459411621,0.8028723806416798,7.298885291760223
4,59.56734,53.64,5.927340850830078,4.56722459411621,0.8028723806416798,11.05022529983236
4,57.518032,53.676,3.8420320739746074,4.56722459411621,0.8028723806416798,7.157821137891436
4,54.29105,50.064,4.227049957275391,4.56722459411621,0.8028723806416798,8.443292500150589
5,61.34108,53.64,7.701079711914062,5.829362350463867,1.2418068793744432,14.356971871577295
5,57.90141,53.676,4.22540914916992,5.829362350463867,1.2418068793744432,7.872064142577539
5,55.591408,50.064,5.527407775878906,5.829362350463867,1.2418068793744432,11.04068347690737
5,52.459553,46.596,5.863552764892582,5.829362350463867,1.2418068793744432,12.583811410620186
6,57.087864,53.676,3.4118639221191387,3.6144543914794927,2.8656673808736928,6.356404952155784
6,53.790363,50.064,3.726363311767578,3.6144543914794927,2.8656673808736928,7.44319932839481
6,51.37327,46.596,4.77726812744141,3.6144543914794927,2.8656673808736928,10.2525283875041
6,47.905678,50.448,-2.542322204589844,3.6144543914794927,2.8656673808736928,5.039490573639875
7,54.72989,50.064,4.665888916015625,3.282895416259766,3.284662088699557,9.319848426045912
7,51.375618,46.596,4.779617980957035,3.282895416259766,3.284662088699557,10.257571424493594
