valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,67.36114,66.492,0.8691373901367143,0.8691373901367143,0.0,1.3071307678167512
1,68.679596,65.532,3.1475959472656285,3.1475959472656285,0.0,4.803143421939859
2,68.8904,68.94,-0.049596252441403976,0.049596252441403976,0.0,0.07194118427821872
3,69.860634,64.128,5.732633850097656,5.732633850097656,0.0,8.939361667442702
4,68.83178,58.584,10.247779479980466,10.247779479980466,0.0,17.492454390243864
5,66.79086,65.688,1.1028630371093726,1.1028630371093726,0.0,1.6789414156457385
6,67.48266,63.6,3.8826583862304673,3.8826583862304673,0.0,6.104808783381238
7,66.39576,60.264,6.131759582519528,6.131759582519528,0.0,10.174830051970543
8,64.55966,61.224,3.3356618652343784,3.3356618652343784,0.0,5.448291299546549
9,63.474155,55.788,7.686155426025394,7.686155426025394,0.0,13.777434978894018
10,60.540215,52.368,8.172214538574217,8.172214538574217,0.0,15.605359262477497
11,57.492252,50.844,6.648252349853514,6.648252349853514,0.0,13.075785441455265
12,54.681377,48.624,6.0573774108886695,6.0573774108886695,0.0,12.45758763344988
13,51.641083,48.852,2.7890827636718782,2.7890827636718782,0.0,5.709249905166377
14,49.312492,46.812,2.500492370605471,2.500492370605471,0.0,5.341562784340493
15,46.571407,46.824,-0.2525926818847637,0.2525926818847637,0.0,0.5394513110472486
16,44.475456,49.14,-4.664543762207032,4.664543762207032,0.0,9.492356048447357
17,43.32312,48.552,-5.2288798828125,5.2288798828125,0.0,10.769648794720094
18,41.83088,43.932,-2.101120788574221,2.101120788574221,0.0,4.7826659122603585
19,39.349785,43.476,-4.12621514892578,4.12621514892578,0.0,9.490788363524198
20,37.744408,44.808,-7.063592346191406,7.063592346191406,0.0,15.764132177716938
21,36.82818,41.436,-4.607821594238281,4.607821594238281,0.0,11.120333995169132
22,35.109955,38.904,-3.7940451660156285,3.7940451660156285,0.0,9.752326665678666
23,33.539513,38.556,-5.016487365722654,5.016487365722654,0.0,13.010912350146938
24,32.501152,37.356,-4.854847961425783,4.854847961425783,0.0,12.996166509866642
25,31.497288,33.936,-2.4387122497558593,2.4387122497558593,0.0,7.186210071180632
26,30.19172,30.048,0.14371905517578298,0.14371905517578298,0.0,0.4782982400685004
27,28.806637,29.568,-0.761363189697267,0.761363189697267,0.0,2.57495667511251
28,28.059702,26.52,1.5397019195556645,1.5397019195556645,0.0,5.805814176303411
29,27.104136,23.844,3.260135513305663,3.260135513305663,0.0,13.672770983499676
30,26.262384,23.868,2.394384414672853,2.394384414672853,0.0,10.031776498545556
31,25.91726,22.536,3.3812592163085924,3.3812592163085924,0.0,15.003812638927016
32,25.584658,21.732,3.8526576690673835,3.8526576690673835,0.0,17.72804007485452
33,25.439669,26.808,-1.368331344604492,1.368331344604492,0.0,5.104190333499299
34,30.476294,30.492,-0.015706436157227444,0.015706436157227444,0.0,0.051510022816566456
35,35.12961,30.888,4.241608154296873,4.241608154296873,0.0,13.732220131756259
36,39.123936,33.792,5.331935699462889,5.331935699462889,0.0,15.77869229244463
37,42.961384,36.888,6.07338381958008,6.07338381958008,0.0,16.4643890142596
38,46.4404,40.428,6.012399169921878,6.012399169921878,0.0,14.871868927282769
39,49.709515,42.012,7.697514617919921,7.697514617919921,0.0,18.32218084813844
40,52.343502,42.732,9.611502044677735,9.611502044677735,0.0,22.49251625170302
41,54.39985,46.92,7.4798489379882795,7.4798489379882795,0.0,15.941707028960527
42,56.820507,44.976,11.844507049560548,11.844507049560548,0.0,26.335172201975602
43,57.90744,44.496,13.411440185546873,13.411440185546873,0.0,30.140777116025873
44,58.685783,44.376,14.309783386230471,14.309783386230471,0.0,32.24667249466034
45,59.15857,43.284,15.874569335937501,15.874569335937501,0.0,36.67537504837238
46,59.128994,46.992,12.136993988037112,12.136993988037112,0.0,25.82778768308885
47,59.910217,51.648,8.262217285156247,8.262217285156247,0.0,15.997167915807479
48,61.189568,51.264,9.925567565917966,9.925567565917966,0.0,19.361672062105896
49,61.56813,51.672,9.896130493164065,9.896130493164065,0.0,19.151823992034497
50,61.84503,46.836,15.009031738281251,15.009031738281251,0.0,32.04592992202846
51,60.622295,49.188,11.43429537963867,11.43429537963867,0.0,23.246107545821477
52,60.49064,51.192,9.298638732910156,9.298638732910156,0.0,18.164241938017962
53,60.476177,53.46,7.016177215576171,7.016177215576171,0.0,13.124162393520708
54,60.665695,55.428,5.23769519042969,5.23769519042969,0.0,9.449547503842265
55,60.904945,55.236,5.668945373535159,5.668945373535159,0.0,10.263135226184298
56,60.6247,58.452,2.1726986389160174,2.1726986389160174,0.0,3.7170646665914213
57,61.09432,54.108,6.986318389892581,6.986318389892581,0.0,12.911803041865493
58,59.79643,54.228,5.56842868041992,5.56842868041992,0.0,10.26854886851796
59,59.057747,51.564,7.493746887207031,7.493746887207031,0.0,14.532904520997267
60,57.43978,47.124,10.315781188964841,10.315781188964841,0.0,21.89071638435795
61,54.8968,44.904,9.992800994873043,9.992800994873043,0.0,22.253698990898457
62,52.464806,43.572,8.892805603027341,8.892805603027341,0.0,20.40945011252029
63,50.132187,41.64,8.492186889648437,8.492186889648437,0.0,20.39430088772439
64,47.624966,43.464,4.160965667724611,4.160965667724611,0.0,9.573361098206817
65,46.187954,41.964,4.223953948974611,4.223953948974611,0.0,10.065660921205346
66,44.209225,36.888,7.321224700927736,7.321224700927736,0.0,19.84717171147185
67,41.2352,38.364,2.871198974609378,2.871198974609378,0.0,7.484097003986492
68,39.737583,40.272,-0.5344168395996078,0.5344168395996078,0.0,1.3270183740554427
69,38.79647,33.684,5.112470642089846,5.112470642089846,0.0,15.17774207959223
70,36.084988,33.336,2.748987640380861,2.748987640380861,0.0,8.246303216885233
71,34.509663,31.656,2.8536626281738293,2.8536626281738293,0.0,9.014602691982024
72,32.882824,31.032,1.8508239440917968,1.8508239440917968,0.0,5.96424318152809
73,31.628187,30.696,0.9321871795654282,0.9321871795654282,0.0,3.036836003275437
74,30.644558,28.692,1.9525579528808592,1.9525579528808592,0.0,6.80523474446138
75,29.53648,28.56,0.9764799499511732,0.9764799499511732,0.0,3.419047443806629
76,28.856401,26.82,2.036401443481445,2.036401443481445,0.0,7.592846545419259
77,28.073776,25.068,3.005776245117186,3.005776245117186,0.0,11.99049084536934
78,27.360867,23.772,3.588866546630861,3.588866546630861,0.0,15.097032418941868
79,26.800549,22.812,3.9885485534667957,3.9885485534667957,0.0,17.484431673973326
80,26.40147,22.74,3.6614701843261734,3.6614701843261734,0.0,16.10145199791633
81,26.260569,19.764,6.496568618774415,6.496568618774415,0.0,32.870717561092974
82,25.832312,20.544,5.288311630249023,5.288311630249023,0.0,25.741392281196568
83,25.954601,19.68,6.274601287841797,6.274601287841797,0.0,31.883136625212384
84,26.040472,19.044,6.996472030639648,6.996472030639648,0.0,36.738458467967064
85,26.25925,16.152,10.10725064086914,10.10725064086914,0.0,62.57584596872919
86,32.09096,16.584,15.506961456298828,15.506961456298828,0.0,93.50555629702623
87,37.01519,15.564,21.45119012451172,21.45119012451172,0.0,137.82568828393548
88,39.673386,15.108,24.565385620117187,24.565385620117187,0.0,162.5985280653772
89,40.596947,13.728,26.868946716308592,26.868946716308592,0.0,195.72367946028984
90,40.21379,14.244,25.969790893554688,25.969790893554688,0.0,182.32091332178243
91,39.319313,13.872,25.447313049316406,25.447313049316406,0.0,183.44372152044699
92,38.0192,13.584,24.43519937133789,24.43519937133789,0.0,179.8822097418867
93,36.54909,13.356,23.193091339111326,23.193091339111326,0.0,173.65297498585898
94,35.060772,13.08,21.980771942138674,21.980771942138674,0.0,168.0487151539654
95,33.598717,12.504,21.094716735839846,21.094716735839846,0.0,168.7037486871389
96,32.166298,13.02,19.146297912597657,19.146297912597657,0.0,147.052979359429
97,30.924181,12.432,18.492180984497068,18.492180984497068,0.0,148.74662954067784
