valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,11.553961,9.888,1.6659608001708985,1.6659608001708985,0.0,16.848309063217016
1,12.901966,8.928,3.9739660949707023,3.9739660949707023,0.0,44.51126898488689
2,12.268465,8.436,3.832465042114258,3.832465042114258,0.0,45.429884330420315
3,11.72151,8.352,3.3695099334716794,3.3695099334716794,0.0,40.34374920344443
4,11.684844,12.756,-1.0711559829711916,1.0711559829711916,0.0,8.397271738563747
5,15.192346,12.828,2.3643456192016608,2.3643456192016608,0.0,18.43113204865654
6,15.242206,11.964,3.2782056198120113,3.2782056198120113,0.0,27.40058191083259
7,13.941743,10.392,3.549742897033692,3.549742897033692,0.0,34.15841894759134
8,12.511246,8.04,4.471245727539063,4.471245727539063,0.0,55.61250904899333
9,11.356228,8.52,2.83622787475586,2.83622787475586,0.0,33.28905956286221
10,11.524567,6.72,4.804566650390625,4.804566650390625,0.0,71.49652753557478
11,10.703435,6.852,3.8514349441528317,3.8514349441528317,0.0,56.208916289445874
12,10.813382,7.116,3.697382148742676,3.697382148742676,0.0,51.958714850234344
13,11.054075,6.0,5.054075241088867,5.054075241088867,0.0,84.23458735148111
14,10.633162,7.008,3.6251615447998047,3.6251615447998047,0.0,51.72890332191502
15,11.300794,7.308,3.9927936477661135,3.9927936477661135,0.0,54.63592840402455
16,11.224131,6.504,4.7201306304931645,4.7201306304931645,0.0,72.57273417117412
17,10.773736,7.284,3.4897360000610353,3.4897360000610353,0.0,47.90961010517621
18,11.247697,6.576,4.671696876525879,4.671696876525879,0.0,71.0416191685809
19,11.035037,7.884,3.151037040710449,3.151037040710449,0.0,39.96749163762619
20,11.83349,6.768,5.065490371704102,5.065490371704102,0.0,74.84471589397313
21,11.094631,8.592,2.502631195068359,2.502631195068359,0.0,29.127458043160598
22,12.117959,7.428,4.689959022521973,4.689959022521973,0.0,63.13892060476538
23,11.456882,8.304,3.1528824768066404,3.1528824768066404,0.0,37.96823791915511
24,12.026616,8.088,3.938616096496583,3.938616096496583,0.0,48.69703383403293
25,11.876924,8.124,3.752923561096191,3.752923561096191,0.0,46.19551404598955
26,11.9765005,9.936,2.0405005111694337,2.0405005111694337,0.0,20.53643831692264
27,13.306617,8.796,4.5106167831420905,4.5106167831420905,0.0,51.28031813485778
28,12.428239,9.264,3.1642388687133796,3.1642388687133796,0.0,34.156291760723015
29,12.783919,9.024,3.759919334411622,3.759919334411622,0.0,41.66577276608624
