valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,14.198584,11.808,2.3905836029052736,2.3905836029052736,0.0,20.245457341677454
1,14.082248,12.18,1.9022477340698245,1.9022477340698245,0.0,15.617797488258
2,14.297671,11.028,3.2696713180541987,3.2696713180541987,0.0,29.648814998677896
3,13.736799,12.108,1.6287992401123041,1.6287992401123041,0.0,13.452256690719395
4,14.554146,10.872,3.6821458129882814,3.6821458129882814,0.0,33.86815501276933
5,13.977734,12.54,1.4377336120605477,1.4377336120605477,0.0,11.465180319462103
6,14.785417,11.724,3.0614166030883787,3.0614166030883787,0.0,26.11238999563612
7,14.199275,10.98,3.2192750167846675,3.2192750167846675,0.0,29.31944459731027
8,13.80632,11.676,2.1303201904296873,2.1303201904296873,0.0,18.245291113649255
9,14.325078,11.256,3.069078010559082,3.069078010559082,0.0,27.266151479735978
10,14.069213,11.124,2.945212913513183,2.945212913513183,0.0,26.47620382518144
11,14.020707,11.988,2.0327071304321294,2.0327071304321294,0.0,16.956182269203616
12,14.483929,11.76,2.723928680419922,2.723928680419922,0.0,23.16265884710818
13,14.280984,10.944,3.336983924865722,3.336983924865722,0.0,30.491446681887073
14,13.921348,11.64,2.2813476181030268,2.2813476181030268,0.0,19.599206341091293
15,14.426184,11.592,2.834183700561523,2.834183700561523,0.0,24.449479818508653
16,14.246501,10.98,3.266500968933105,3.266500968933105,0.0,29.749553451121173
17,13.849627,11.976,1.8736265411376944,1.8736265411376944,0.0,15.64484419787654
18,14.463394,11.616,2.847394165039063,2.847394165039063,0.0,24.512690814730227
19,14.246465,10.956,3.2904647293090825,3.2904647293090825,0.0,30.033449519067933
20,13.980966,11.796,2.1849656143188483,2.1849656143188483,0.0,18.522936710061447
21,14.574247,13.128,1.446247360229492,1.446247360229492,0.0,11.016509447208197
22,15.299974,12.276,3.0239744415283205,3.0239744415283205,0.0,24.633222886349955
23,14.508592,11.832,2.676591651916503,2.676591651916503,0.0,22.62163329882102
24,14.133064,12.756,1.377064270019531,1.377064270019531,0.0,10.795423879112032
25,14.706412,12.24,2.466412315368652,2.466412315368652,0.0,20.150427413142584
26,14.315162,10.86,3.4551617050170904,3.4551617050170904,0.0,31.815485313232877
27,13.422873,11.484,1.938872543334961,1.938872543334961,0.0,16.88325098689447
28,13.965612,11.376,2.589612411499024,2.589612411499024,0.0,22.763822182656682
29,13.891549,11.088,2.8035491104125985,2.8035491104125985,0.0,25.284533824067452
30,13.561623,10.584,2.9776226196289066,2.9776226196289066,0.0,28.133244705488536
31,13.151589,10.44,2.711589393615723,2.711589393615723,0.0,25.97307848290923
32,13.157586,11.184,1.9735860977172859,1.9735860977172859,0.0,17.646513749260425
33,14.177289,10.668,3.509289009094239,3.509289009094239,0.0,32.89547252619272
34,13.768127,10.188,3.5801274414062494,3.5801274414062494,0.0,35.140630559543084
35,13.358899,10.392,2.966899116516114,2.966899116516114,0.0,28.549837533834815
36,13.339751,10.992,2.3477512435913077,2.3477512435913077,0.0,21.3587267430068
37,13.736781,9.456,4.2807811203002935,4.2807811203002935,0.0,45.270527921957424
38,12.965958,10.272,2.6939576416015623,2.6939576416015623,0.0,26.226223146432652
39,13.40679,10.812,2.5947897796630865,2.5947897796630865,0.0,23.999165553672647
40,14.023859,10.308,3.7158590240478517,3.7158590240478517,0.0,36.048302522776986
41,13.524651,10.032,3.4926505737304687,3.4926505737304687,0.0,34.81509742554295
42,13.18622,10.848,2.338220169067382,2.338220169067382,0.0,21.55438946411672
43,13.539679,10.44,3.099678573608399,3.099678573608399,0.0,29.690407793183898
44,13.018543,9.828,3.1905432434082037,3.1905432434082037,0.0,32.46380996548844
45,12.664126,10.284,2.3801263961791985,2.3801263961791985,0.0,23.143975069809397
46,13.127775,10.152,2.975775192260743,2.975775192260743,0.0,29.312206385547118
47,12.923487,10.2,2.7234867095947273,2.7234867095947273,0.0,26.700850094065952
48,12.888846,9.744,3.1448463973999026,3.1448463973999026,0.0,32.27469619663283
49,12.281269,10.86,1.4212690734863287,1.4212690734863287,0.0,13.087192205214816
50,13.041286,10.044,2.997286468505859,2.997286468505859,0.0,29.84156181308103
51,12.564042,9.564,3.000042091369629,3.000042091369629,0.0,31.36806870942732
52,12.437426,10.044,2.39342561340332,2.39342561340332,0.0,23.82940674435802
53,13.046308,9.36,3.686307563781739,3.686307563781739,0.0,39.38362781818097
54,12.744232,9.684,3.0602321777343757,3.0602321777343757,0.0,31.600910550747376
55,12.962382,8.46,4.502382316589355,4.502382316589355,0.0,53.21964913226187
56,12.172444,7.284,4.888444343566895,4.888444343566895,0.0,67.11208599075913
57,11.249809,8.784,2.465809265136718,2.465809265136718,0.0,28.071599102193968
58,12.151284,7.02,5.131284217834473,5.131284217834473,0.0,73.09521677826886
59,11.090999,8.748,2.3429986495971686,2.3429986495971686,0.0,26.783249309524106
60,12.226309,7.92,4.306308822631836,4.306308822631836,0.0,54.37258614434136
61,11.613289,7.32,4.293288879394531,4.293288879394531,0.0,58.65148742342255
62,11.114101,6.756,4.358101409912109,4.358101409912109,0.0,64.50712566477367
63,10.958027,7.776,3.1820268859863283,3.1820268859863283,0.0,40.921127649001136
64,11.75127,6.408,5.343270294189453,5.343270294189453,0.0,83.38436788685163
