valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,25.052366,23.112,1.9403662567138689,1.9403662567138689,0.0,8.395492630295383
1,24.048561,19.968,4.080561096191406,4.080561096191406,0.0,20.43550228461241
2,22.975405,17.736,5.239404739379882,5.239404739379882,0.0,29.541073180987155
3,21.623592,17.028,4.595592376708986,4.595592376708986,0.0,26.988444777478186
4,20.338072,15.168,5.170071823120118,5.170071823120118,0.0,34.08538912922019
5,19.15998,15.612,3.547980773925781,3.547980773925781,0.0,22.72598497262222
6,18.127478,24.828,-6.700522354125976,6.700522354125976,0.0,26.987765241364492
7,22.390314,26.556,-4.165685897827149,4.165685897827149,0.0,15.686420763018335
8,27.458498,28.92,-1.461501998901369,1.461501998901369,0.0,5.053603039078039
9,30.739595,32.112,-1.372404586791994,1.372404586791994,0.0,4.273806012680599
10,34.190266,34.932,-0.741734344482424,0.741734344482424,0.0,2.1233663817772355
11,36.755764,36.72,0.03576400756836051,0.03576400756836051,0.0,0.09739653477222363
12,37.1987,35.952,1.2466999511718768,1.2466999511718768,0.0,3.4676789919110953
13,38.007473,37.056,0.951472991943362,0.951472991943362,0.0,2.567662435080316
14,38.936977,37.416,1.5209773864746126,1.5209773864746126,0.0,4.0650453989593025
15,39.067818,38.748,0.3198176879882837,0.3198176879882837,0.0,0.8253785691862384
16,39.528355,39.648,-0.11964535522461262,0.11964535522461262,0.0,0.3017689548643377
17,40.120464,38.688,1.4324643249511695,1.4324643249511695,0.0,3.702606298984619
18,40.543873,36.456,4.08787283325195,4.08787283325195,0.0,11.213168842582702
19,40.60344,35.172,5.4314393310546905,5.4314393310546905,0.0,15.44250918644004
20,40.148643,34.524,5.624643493652343,5.624643493652343,0.0,16.291980922408595
21,39.328545,34.86,4.468544616699219,4.468544616699219,0.0,12.81854451147223
22,38.285515,34.068,4.217514831542971,4.217514831542971,0.0,12.37969599490129
23,37.146336,30.96,6.18633560180664,6.18633560180664,0.0,19.981704140202325
24,35.593777,33.324,2.2697767028808613,2.2697767028808613,0.0,6.811237255074006
25,34.230198,36.54,-2.3098020935058585,2.3098020935058585,0.0,6.321297464438584
26,33.83259,40.632,-6.799411804199217,6.799411804199217,0.0,16.734130252508407
27,34.35741,38.376,-4.0185895690917945,4.0185895690917945,0.0,10.471621766447244
28,35.196564,37.74,-2.543436279296877,2.543436279296877,0.0,6.739364810007623
29,36.076874,39.972,-3.8951262207031263,3.8951262207031263,0.0,9.744636797516076
30,37.006348,39.408,-2.4016523437500013,2.4016523437500013,0.0,6.094326897457372
31,37.45578,40.5,-3.044219970703125,3.044219970703125,0.0,7.51659252025463
32,37.72346,40.26,-2.536538848876951,2.536538848876951,0.0,6.300394557568185
