valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,42.232853,26.376,15.856852935791014,15.856852935791014,0.0,60.118490050769694
1,25.524649,26.76,-1.2353513336181656,1.2353513336181656,0.0,4.616410065837688
2,41.769184,25.056,16.713184112548827,16.713184112548827,0.0,66.70332101113038
3,37.000187,24.96,12.040186920166015,12.040186920166015,0.0,48.237928366049736
4,19.589537,24.744,-5.154463333129883,5.154463333129883,0.0,20.83116445655465
5,25.782642,21.948,3.8346423645019527,3.8346423645019527,0.0,17.47148881220135
6,30.338228,21.504,8.834228225708006,8.834228225708006,0.0,41.081790484133215
7,11.719416,22.404,-10.684584335327148,10.684584335327148,0.0,47.69052104680927
8,14.116312,23.892,-9.77568797302246,9.77568797302246,0.0,40.916155922578525
9,14.075758,26.124,-12.048242019653319,12.048242019653319,0.0,46.11943813984581
10,16.001265,25.428,-9.426735427856446,9.426735427856446,0.0,37.07226454245889
11,14.483513,24.852,-10.368487121582032,10.368487121582032,0.0,41.720936429993685
12,17.736004,25.68,-7.943996124267578,7.943996124267578,0.0,30.934564346836364
13,15.743745,25.38,-9.636255149841308,9.636255149841308,0.0,37.96790839180972
14,25.049013,24.936,0.11301313781738287,0.11301313781738287,0.0,0.4532127759760301
15,14.030274,25.32,-11.289725608825684,11.289725608825684,0.0,44.58817381052798
16,12.916642,25.608,-12.691357810974122,12.691357810974122,0.0,49.56012890883365
17,13.942091,23.796,-9.85390901184082,9.85390901184082,0.0,41.40993869491015
18,22.547216,24.204,-1.6567835845947272,1.6567835845947272,0.0,6.845081741012754
19,11.001764,23.244,-12.242235702514648,12.242235702514648,0.0,52.66836905229155
20,8.471958,23.46,-14.98804183959961,14.98804183959961,0.0,63.8876463751049
21,25.872746,22.296,3.5767455139160163,3.5767455139160163,0.0,16.042095057032725
22,15.089134,22.368,-7.278865783691405,7.278865783691405,0.0,32.54142428331279
23,20.202824,23.544,-3.341176361083985,3.341176361083985,0.0,14.191200989993138
24,17.178188,23.616,-6.43781167602539,6.43781167602539,0.0,27.260381419484208
25,10.760105,20.592,-9.831894866943358,9.831894866943358,0.0,47.746187193780884
26,15.55505,20.04,-4.484950103759765,4.484950103759765,0.0,22.37999053772338
27,11.860823,21.228,-9.367177322387697,9.367177322387697,0.0,44.12651838320942
28,18.06328,20.064,-2.0007198944091797,2.0007198944091797,0.0,9.971690063841605
29,9.912518,20.388,-10.47548245239258,10.47548245239258,0.0,51.38062807726398
30,16.033548,20.52,-4.4864516448974605,4.4864516448974605,0.0,21.863799439071446
31,16.05376,20.34,-4.286239471435547,4.286239471435547,0.0,21.07295708670377
32,17.676971,18.408,-0.7310285644531263,0.7310285644531263,0.0,3.9712546960730455
33,15.328652,18.0,-2.6713476181030273,2.6713476181030273,0.0,14.840820100572374
34,9.226364,19.92,-10.693635864257814,10.693635864257814,0.0,53.68291096514967
35,23.895586,19.74,4.155586013793947,4.155586013793947,0.0,21.051600880415133
36,11.428686,19.752,-8.323313858032225,8.323313858032225,0.0,42.13909405646125
37,10.612436,20.028,-9.415563705444335,9.415563705444335,0.0,47.01200172480694
38,13.643815,20.124,-6.48018495941162,6.48018495941162,0.0,32.201276880399625
39,14.381123,21.576,-7.194877410888672,7.194877410888672,0.0,33.34666949800089
40,13.606463,21.108,-7.501536567687989,7.501536567687989,0.0,35.538831569490185
41,19.239717,20.364,-1.124282516479493,1.124282516479493,0.0,5.5209316267898885
42,16.721127,20.376,-3.654873443603517,3.654873443603517,0.0,17.937148820197862
43,3.5218754,21.096,-17.574124618530274,17.574124618530274,0.0,83.30548264377263
44,21.07786,20.52,0.5578598785400395,0.5578598785400395,0.0,2.718615392495319
45,9.835625,21.324,-11.488375305175783,11.488375305175783,0.0,53.87532969975513
46,17.022284,20.988,-3.965716445922851,3.965716445922851,0.0,18.8951612632116
47,9.993265,20.376,-10.382734848022462,10.382734848022462,0.0,50.95570694946241
48,13.9608965,21.564,-7.6031035079956055,7.6031035079956055,0.0,35.25831713965686
49,18.537556,21.612,-3.07444430541992,3.07444430541992,0.0,14.225635320284658
50,18.396267,20.772,-2.375733062744139,2.375733062744139,0.0,11.437189787907467
51,10.752634,20.172,-9.419365951538087,9.419365951538087,0.0,46.69525060250885
52,8.384497,21.288,-12.903503311157227,12.903503311157227,0.0,60.61397647105048
53,17.19547,22.128,-4.932529190063477,4.932529190063477,0.0,22.290894749021493
54,14.042918,22.14,-8.09708179473877,8.09708179473877,0.0,36.57218516142173
55,15.054695,21.732,-6.677304870605468,6.677304870605468,0.0,30.72568042796553
56,15.615336,21.816,-6.2006635818481435,6.2006635818481435,0.0,28.42255033850451
57,17.045471,21.84,-4.79452880859375,4.79452880859375,0.0,21.95297073531937
58,15.6977415,36.684,-20.98625849151611,20.98625849151611,0.0,57.20820655194666
59,30.619362,43.116,-12.496638122558593,12.496638122558593,0.0,28.983760373315228
60,47.456806,51.696,-4.23919381713867,4.23919381713867,0.0,8.200235641323642
61,59.824406,52.956,6.8684056701660126,6.8684056701660126,0.0,12.970023548164535
62,80.55384,57.456,23.097840637207028,23.097840637207028,0.0,40.20092007311165
63,97.01318,63.804,33.20918359375,33.20918359375,0.0,52.04874865799949
64,74.66406,66.096,8.568062499999996,8.568062499999996,0.0,12.963057522391667
65,61.030415,63.732,-2.701585418701171,2.701585418701171,0.0,4.23897793683106
66,101.59565,70.884,30.71164971923828,30.71164971923828,0.0,43.32663184814384
67,98.93039,78.264,20.66638940429688,20.66638940429688,0.0,26.40599688783717
68,82.602455,80.604,1.998455139160157,1.998455139160157,0.0,2.4793498327132117
69,122.51232,78.012,44.50032147216797,44.50032147216797,0.0,57.042918361493065
70,132.29997,77.292,55.007972534179686,55.007972534179686,0.0,71.16903759015123
71,102.371956,79.86,22.511955871582032,22.511955871582032,0.0,28.189276072604596
72,84.092674,82.464,1.6286742553710951,1.6286742553710951,0.0,1.975012436179539
73,111.6139,77.016,34.597899230957026,34.597899230957026,0.0,44.92300201381145
74,79.267136,78.06,1.2071356201171852,1.2071356201171852,0.0,1.5464202153691842
75,79.963806,74.196,5.767806152343752,5.767806152343752,0.0,7.7737427251384865
76,56.755234,72.492,-15.736766235351567,15.736766235351567,0.0,21.70827985895211
77,71.42153,69.408,2.0135316772460925,2.0135316772460925,0.0,2.9010080642665
78,31.91876,70.38,-38.46123970031738,38.46123970031738,0.0,54.64796774696985
79,105.1027,69.18,35.92269927978515,35.92269927978515,0.0,51.926422780840056
80,51.731934,69.168,-17.436066406250006,17.436066406250006,0.0,25.208284764992488
81,28.772005,70.344,-41.571994918823236,41.571994918823236,0.0,59.098139029374565
82,45.436714,75.12,-29.683285827636723,29.683285827636723,0.0,39.514491250847605
83,35.316975,70.728,-35.411025360107416,35.411025360107416,0.0,50.06648761467511
84,47.247177,69.456,-22.208822875976566,22.208822875976566,0.0,31.97538423746914
85,56.90936,66.948,-10.038641021728509,10.038641021728509,0.0,14.994683966255169
86,47.222996,60.252,-13.029004241943362,13.029004241943362,0.0,21.62418549084406
87,66.234474,57.18,9.054474182128907,9.054474182128907,0.0,15.835037044646565
88,34.58718,54.456,-19.86881890869141,19.86881890869141,0.0,36.486005047545554
89,33.522224,51.612,-18.08977557373047,18.08977557373047,0.0,35.049553541289754
90,37.716324,53.736,-16.019676147460935,16.019676147460935,0.0,29.81181358393058
91,39.87243,49.14,-9.267571105957032,9.267571105957032,0.0,18.85952606014862
92,39.84925,45.156,-5.306749206542968,5.306749206542968,0.0,11.752035624375427
93,49.87804,44.508,5.3700403137207005,5.3700403137207005,0.0,12.06533727357037
94,73.33711,43.728,29.60911242675781,29.60911242675781,0.0,67.71202073444431
95,53.986,42.72,11.266000061035157,11.266000061035157,0.0,26.371722989314506
96,52.521767,39.972,12.549766662597655,12.549766662597655,0.0,31.396394132386806
97,29.000658,39.696,-10.695341964721678,10.695341964721678,0.0,26.943122643897823
98,39.572124,39.0,0.5721244812011719,0.5721244812011719,0.0,1.4669858492337742
99,35.49023,35.592,-0.10176943969726437,0.10176943969726437,0.0,0.28593346734452796
100,26.75204,35.604,-8.85195913696289,8.85195913696289,0.0,24.86226024312687
101,31.293346,36.492,-5.1986535949707005,5.1986535949707005,0.0,14.24600897448948
102,31.658773,34.56,-2.9012265777587913,2.9012265777587913,0.0,8.394752829163169
103,18.42831,29.1,-10.671689605712892,10.671689605712892,0.0,36.67247287186561
104,27.610374,27.072,0.5383744506835946,0.5383744506835946,0.0,1.9886763101492118
105,24.957167,26.34,-1.3828333282470702,1.3828333282470702,0.0,5.249936705569742
106,25.29892,24.42,0.8789196777343733,0.8789196777343733,0.0,3.5991796795019377
107,35.941833,23.988,11.95383349609375,11.95383349609375,0.0,49.83255584497979
108,33.14454,23.976,9.168538879394532,9.168538879394532,0.0,38.24048581662718
109,29.803585,21.84,7.9635850524902345,7.9635850524902345,0.0,36.463301522391184
110,21.910494,32.688,-10.777506149291995,10.777506149291995,0.0,32.97083379005137
111,29.41929,40.62,-11.200709457397458,11.200709457397458,0.0,27.57437089462693
112,39.556053,45.948,-6.391946838378907,6.391946838378907,0.0,13.911262380035923
113,54.398266,48.648,5.750265838623044,5.750265838623044,0.0,11.820148492482822
114,73.34683,56.448,16.898832275390625,16.898832275390625,0.0,29.93699028378441
115,80.775665,62.04,18.735665283203126,18.735665283203126,0.0,30.199331533209424
116,75.015045,67.08,7.935045166015627,7.935045166015627,0.0,11.829226544447865
117,85.06164,70.596,14.465637878417965,14.465637878417965,0.0,20.490733013793932
118,107.700195,70.788,36.9121953125,36.9121953125,0.0,52.14470717141324
119,88.54522,72.312,16.23321942138672,16.23321942138672,0.0,22.44885969325523
120,77.275375,67.824,9.45137536621094,9.45137536621094,0.0,13.935148865019666
121,113.73565,66.024,47.71164910888672,47.71164910888672,0.0,72.26409958331321
122,88.545975,70.188,18.35797473144531,18.35797473144531,0.0,26.155432169951144
123,136.46106,73.692,62.76905957031251,62.76905957031251,0.0,85.17757635878048
