valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,26.55103,24.887999999999998,1.6630292053222675,1.6630292053222675,0.0,6.682052416113258
1,25.521427,18.890399999999996,6.6310271545410195,6.6310271545410195,0.0,35.10262966660855
2,23.718637,19.05504,4.663597466430662,4.663597466430662,0.0,24.474351491419917
3,22.336012,19.461,2.875011886596681,2.875011886596681,0.0,14.773197094685173
4,21.301908,17.475,3.8269084930419908,3.8269084930419908,0.0,21.8993332935164
5,20.183275,16.386,3.797275222778321,3.797275222778321,0.0,23.173899809461254
6,19.153915,23.1246,-3.9706845947265634,3.9706845947265634,0.0,17.170824986060573
7,23.100298,23.46216,-0.3618620721435555,0.3618620721435555,0.0,1.5423220715550294
8,25.54424,23.979000000000003,1.5652409515380832,1.5652409515380832,0.0,6.527548903365791
9,27.36381,28.104,-0.7401904144287101,0.7401904144287101,0.0,2.633754677016475
10,29.28767,30.63,-1.3423298645019521,1.3423298645019521,0.0,4.382402430629945
11,31.071602,33.171,-2.099398132324218,2.099398132324218,0.0,6.329016708342282
12,32.800346,34.929,-2.1286536254882833,2.1286536254882833,0.0,6.094230082419432
13,34.378582,36.165,-1.7864179992675773,1.7864179992675773,0.0,4.9396322390918765
14,35.761105,36.786,-1.024895416259767,1.024895416259767,0.0,2.7861018220512337
15,36.88155,37.293,-0.41145016479492114,0.41145016479492114,0.0,1.1032906035849117
16,37.77439,38.217,-0.4426088256835925,0.4426088256835925,0.0,1.1581464418546523
17,38.572357,38.625,-0.052642822265625,0.052642822265625,0.0,0.13629209648058252
18,39.211002,38.385000000000005,0.8260023498535105,0.8260023498535105,0.0,2.1518883674703932
19,39.604416,37.491,2.113415893554688,2.113415893554688,0.0,5.637128627016319
20,39.670975,36.21,3.4609747314453116,3.4609747314453116,0.0,9.558063329039799
21,39.390774,35.253,4.137773773193359,4.137773773193359,0.0,11.737366389224631
22,38.88663,34.656,4.230631011962892,4.230631011962892,0.0,12.207499457418317
23,38.274544,33.603,4.67154376220703,4.67154376220703,0.0,13.902162789652797
24,37.498547,33.303,4.1955466003418,4.1955466003418,0.0,12.598104075734318
25,36.74473,33.723,3.021731903076173,3.021731903076173,0.0,8.96044807127531
26,36.16031,35.364,0.7963088378906278,0.7963088378906278,0.0,2.251749909203223
27,35.96589,37.217999999999996,-1.2521110229492152,1.2521110229492152,0.0,3.3642619779386727
28,36.14929,38.322,-2.1727118225097684,2.1727118225097684,0.0,5.669620120321926
29,36.508026,39.18,-2.6719738769531247,2.6719738769531247,0.0,6.819739349038093
30,36.957817,38.873999999999995,-1.9161829223632765,1.9161829223632765,0.0,4.929214699704884
31,37.31948,39.405,-2.0855191040039074,2.0855191040039074,0.0,5.292524055332844
32,37.658455,40.035,-2.3765451049804653,2.3765451049804653,0.0,5.9361686149131145
33,37.977634,40.403999999999996,-2.4263655700683557,2.4263655700683557,0.0,6.005260791179972
34,38.22251,39.795,-1.5724887084960955,1.5724887084960955,0.0,3.951473070727718
35,38.216534,39.135,-0.9184663391113261,0.9184663391113261,0.0,2.346917948412741
36,37.997227,38.457,-0.4597732849121101,0.4597732849121101,0.0,1.195551615862158
37,37.598743,37.692,-0.09325656127929705,0.09325656127929705,0.0,0.247417386393126
38,37.042633,38.882999999999996,-1.8403669433593706,1.8403669433593706,0.0,4.733088864952217
