valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,55.62771,57.288,-1.660291564941403,3.554657844543458,4.052409749741979,2.898148940338994
0,54.26347,55.536,-1.2725303039550795,3.554657844543458,4.052409749741979,2.2913611062285355
0,46.341457,56.892,-10.550542633056644,3.554657844543458,4.052409749741979,18.544861550053863
0,54.464733,55.2,-0.735266876220706,3.554657844543458,4.052409749741979,1.332005210544757
1,55.28967,55.536,-0.246330963134767,4.262186157226564,4.185863776924556,0.4435518638986729
1,54.732586,56.892,-2.159414093017581,4.262186157226564,4.185863776924556,3.795637511456059
1,43.953053,55.2,-11.24694747924805,4.262186157226564,4.185863776924556,20.374904853710234
1,52.823948,56.22,-3.3960520935058582,4.262186157226564,4.185863776924556,6.040647622742544
2,54.06383,56.892,-2.8281686706543,4.31994997406006,4.768726253645729,4.971118383347922
2,53.19865,55.2,-2.001349639892581,4.31994997406006,4.768726253645729,3.625633405602501
2,43.95844,56.22,-12.261561126708983,4.31994997406006,4.768726253645729,21.80996287212555
2,52.24472,52.056,0.18872045898437761,4.31994997406006,4.768726253645729,0.3625335388511941
3,53.122498,55.2,-2.077502441406253,4.102319961547851,3.602736103994997,3.7635913793591533
3,51.549274,56.22,-4.670725555419921,4.102319961547851,3.602736103994997,8.307943001458415
3,45.225574,52.056,-6.830425506591794,4.102319961547851,3.602736103994997,13.121303032487694
3,52.582626,49.752,2.830626342773435,4.102319961547851,3.602736103994997,5.689472468993075
4,50.858192,56.22,-5.361807556152343,4.127395820617675,3.3148199523341195,9.537188822754079
4,49.06096,52.056,-2.99504113769531,4.127395820617675,3.3148199523341195,5.753498420345993
4,44.311066,49.752,-5.4409343261718774,4.127395820617675,3.3148199523341195,10.936111766706619
4,50.9398,48.228,2.7118002624511703,4.127395820617675,3.3148199523341195,5.622875222798313
5,49.86187,52.056,-2.1941301879882786,3.8054340667724613,4.301363418377273,4.214941962479404
5,48.68132,49.752,-1.070679809570315,3.8054340667724613,4.301363418377273,2.152033706323997
5,41.992558,48.228,-6.235442474365236,3.8054340667724613,4.301363418377273,12.929091968079199
5,49.029484,43.308,5.721483795166016,3.8054340667724613,4.301363418377273,13.211147582816144
6,47.722916,49.752,-2.02908435058594,2.4852895812988294,2.4420534716714504,4.078397553034932
6,47.07267,48.228,-1.1553300170898453,2.4852895812988294,2.4420534716714504,2.3955586321013627
6,39.14115,43.308,-4.166848571777344,2.4852895812988294,2.4420534716714504,9.621429231960246
6,46.245895,43.656,2.5898953857421887,2.4852895812988294,2.4420534716714504,5.932507297375364
7,48.020504,48.228,-0.20749600219726716,2.3424155502319337,2.4455041162800493,0.43023969933911244
7,46.546696,43.308,3.238695709228516,2.3424155502319337,2.4455041162800493,7.478285095660192
7,41.54647,43.656,-2.109529357910155,2.3424155502319337,2.4455041162800493,4.832163638240231
7,47.87794,44.064,3.813941131591797,2.3424155502319337,2.4455041162800493,8.65545826886301
8,42.59827,43.308,-0.7097295837402342,2.7384733276367186,3.1324819954522596,1.638795566039148
8,41.848446,43.656,-1.8075541076660144,2.7384733276367186,3.1324819954522596,4.140448295001866
8,35.979977,44.064,-8.084023345947266,2.7384733276367186,3.1324819954522596,18.346095102458392
