valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,64.44184,65.496,-1.0541588745117139,1.9880108108520478,2.028207269592846,1.609501151996632
0,62.962467,65.064,-2.1015328063964773,1.9880108108520478,2.028207269592846,3.2299471388117507
0,62.23766,60.06,2.177659454345701,1.9880108108520478,2.028207269592846,3.625806617292209
0,60.122692,57.504,2.618692108154299,1.9880108108520478,2.028207269592846,4.553930349461428
1,64.99174,65.064,-0.0722626342773367,2.8453205261230448,1.9152237101060885,0.11106392825116303
1,64.2288,60.06,4.168797912597654,2.8453205261230448,1.9152237101060885,6.9410554655305585
1,62.370842,57.504,4.866841979980471,2.8453205261230448,1.9152237101060885,8.46348424454033
1,60.80938,58.536,2.2733795776367174,2.8453205261230448,1.9152237101060885,3.8837289490855498
2,65.174774,60.06,5.114774169921873,5.670600357055664,1.5117215976051543,8.516107509027426
2,64.54186,57.504,7.037862487792971,5.670600357055664,1.5117215976051543,12.238909445939363
2,61.979668,58.536,3.4436676635742174,5.670600357055664,1.5117215976051543,5.88299108851684
2,60.726097,53.64,7.086097106933593,5.670600357055664,1.5117215976051543,13.210471862292305
3,62.516838,57.504,5.012838073730471,4.0727851257324215,1.0678034920606763,8.717372832725498
3,61.163662,58.536,2.627661956787108,4.0727851257324215,1.0678034920606763,4.488967399185301
3,58.82007,53.64,5.180068359374999,4.0727851257324215,1.0678034920606763,9.657099849692392
3,57.146572,53.676,3.4705721130371074,4.0727851257324215,1.0678034920606763,6.465780074962939
4,59.408894,58.536,0.8728935852050768,2.5171671829223623,1.260662686328132,1.4912081201398741
4,57.695915,53.64,4.055915222167968,2.5171671829223623,1.260662686328132,7.561363203146845
4,55.44589,53.676,1.7698885192871074,2.5171671829223623,1.260662686328132,3.297355464801974
4,53.43397,50.064,3.369971405029297,2.5171671829223623,1.260662686328132,6.731326711867404
5,58.17338,53.64,4.533381805419921,4.277807670593262,0.8904284166990145,8.451494790119167
5,56.81294,53.676,3.136938690185545,4.277807670593262,0.8904284166990145,5.844210988496805
5,53.944016,50.064,3.8800155029296874,4.277807670593262,0.8904284166990145,7.750110863953514
5,52.156895,46.596,5.560894683837894,4.277807670593262,0.8904284166990145,11.934274795771943
6,54.717617,53.676,1.0416170349121074,2.4299260406494145,2.2712077711221346,1.940563817930001
6,52.824806,50.064,2.760806213378906,2.4299260406494145,2.2712077711221346,5.514553797896505
6,50.171864,46.596,3.5758635559082066,2.4299260406494145,2.2712077711221346,7.674185672392923
6,48.106583,50.448,-2.341417358398438,2.4299260406494145,2.2712077711221346,4.6412491246401
7,52.798046,50.064,2.734046112060547,2.7161305847167974,2.821522342873756,5.461102013543758
